,forecast,lower_95,upper_95
2026-01-01,0.024196603594666577,-0.622946589196004,0.6713397963853371
2026-02-01,0.11130033487485645,-0.5404140223906743,0.7630146921403872
2026-03-01,0.5640632110675118,-0.09219048387491491,1.2203169060099386
2026-04-01,0.5120357498567606,-0.14872609890960997,1.1727975986231312
2026-05-01,0.12517992457490862,-0.540059528137208,0.7904193772870252
2026-06-01,0.23285605666330672,-0.4368310628964776,0.9025431762230911
2026-07-01,0.24754760810387347,-0.4265578337699073,0.9216530499776542
2026-08-01,0.16663284772234083,-0.5118621452020062,0.845127840646688
2026-09-01,0.24977409323687563,-0.43308223431891,0.9326304207926612
2026-10-01,0.2799759436847136,-0.4072140393203784,0.9671659266898056
2026-11-01,0.26571520803531096,-0.4257812716391001,0.9572116877097221
2026-12-01,0.4390763189226512,-0.25670000293780726,1.1348526407831097
