,forecast,lower_95,upper_95
2026-01-01,-0.4229753965183473,-1.0808063373356216,0.23485554429892702
2026-02-01,-0.2004816594803726,-0.8712345674905047,0.4702712485297595
2026-03-01,1.270993501477203,0.5995240272944817,1.942462975659924
2026-04-01,0.8444053429150293,0.17199913390988775,1.516811551920171
2026-05-01,-0.24710125603211153,-0.9195511990263713,0.4253486869621482
2026-06-01,0.09462598536093025,-0.5778928587267602,0.7671448294486207
2026-07-01,0.13353930951426898,-0.5389821467506182,0.8060607657791561
2026-08-01,-0.06281884056266779,-0.7353453894147999,0.6097077082894642
2026-09-01,0.09508670265595941,-0.5774399976091643,0.7676134029210832
2026-10-01,0.21010148864649567,-0.4624255896399838,0.8826285669329752
2026-11-01,0.21547242747746342,-0.4570546592420429,0.8879995141969698
2026-12-01,0.5701532350629999,-0.10237387984023827,1.242680349966238
